"suelo","cobertura","pendiente","precipitacion","inf_baja","inf_media","inf_alta"
"suelo_salino","hidrofila_humedal","pend_media","prec_alta",0.5,0.3,0.2
"suelo_salino","hidrofila_humedal","pend_alta","prec_baja",0.7,0.2,0.1
"suelo_salino","hidrofila_humedal","pend_alta","prec_media",0.7,0.2,0.1
"suelo_salino","hidrofila_humedal","pend_alta","prec_alta",0.6,0.25,0.15
"suelo_salino","agropecuaria","pend_baja","prec_baja",0.6,0.25,0.15
"suelo_salino","agropecuaria","pend_baja","prec_media",0.5,0.3,0.2
"suelo_salino","agropecuaria","pend_baja","prec_alta",0.5,0.3,0.2
"suelo_salino","agropecuaria","pend_media","prec_baja",0.7,0.2,0.1
"suelo_salino","agropecuaria","pend_media","prec_media",0.6,0.25,0.15
"suelo_salino","agropecuaria","pend_media","prec_alta",0.5,0.3,0.2
"suelo_salino","agropecuaria","pend_alta","prec_baja",0.7,0.2,0.1
"suelo_salino","agropecuaria","pend_alta","prec_media",0.7,0.2,0.1
"suelo_salino","agropecuaria","pend_alta","prec_alta",0.6,0.25,0.15
"suelo_salino","antropica","pend_baja","prec_baja",0.6,0.25,0.15
"suelo_salino","antropica","pend_baja","prec_media",0.5,0.3,0.2
"suelo_salino","antropica","pend_baja","prec_alta",0.5,0.3,0.2
"suelo_salino","antropica","pend_media","prec_baja",0.7,0.2,0.1
"suelo_salino","antropica","pend_media","prec_media",0.6,0.25,0.15
"suelo_salino","antropica","pend_media","prec_alta",0.5,0.3,0.2
"suelo_salino","antropica","pend_alta","prec_baja",0.7,0.2,0.1
"suelo_salino","antropica","pend_alta","prec_media",0.7,0.2,0.1
"suelo_salino","antropica","pend_alta","prec_alta",0.6,0.25,0.15
