"id","cluster_C1","cluster_C2_original","cluster_C2","changed_cluster","silhouette_C1","silhouette_C2"
293,2,2,2,FALSE,0.612470087703408,0.539009731623324
294,4,4,4,FALSE,0.721546499814839,0.543695073280292
295,4,4,4,FALSE,0.711771637422121,0.59873944193667
296,4,4,4,FALSE,0.690087422132609,0.538278656458416
297,2,2,2,FALSE,0.769424022656709,0.708895021750023
298,4,4,4,FALSE,0.713542709337197,0.560193401742194
299,1,1,1,FALSE,0.742240382099843,0.721342301508842
300,2,2,2,FALSE,0.742032538940512,0.691103840508129
301,5,5,5,FALSE,0.541839888681583,0.511877713829637
302,4,4,4,FALSE,0.629294830657454,0.484025421161416
303,5,5,5,FALSE,0.641645560164633,0.599287866208292
304,5,5,5,FALSE,0.659972359270859,0.615027195207862
305,2,2,2,FALSE,0.761447974348503,0.675873589965729
306,2,2,2,FALSE,0.683334103455713,0.601425752195211
307,3,3,3,FALSE,0.562507241587323,0.525119958362449
308,3,7,7,TRUE,0.0156150124350141,0.132721358432161
309,12,12,12,FALSE,-0.230532479977115,-0.102977876404419
310,4,4,4,FALSE,0.697229424191384,0.436615956971684
311,2,2,2,FALSE,0.756622045123704,0.671064772587803
312,9,9,9,FALSE,-0.122621180925873,-0.118106960291458
313,9,9,9,FALSE,0.308058959223631,0.253080465193694
314,5,5,5,FALSE,0.660327924676226,0.583204955399111
315,3,3,3,FALSE,0.548539084866869,0.516030143989935
316,3,3,3,FALSE,0.236918129731951,0.24084931401378
317,5,5,5,FALSE,0.78309599992167,0.721929247344545
318,9,9,9,FALSE,0.404655211765703,0.5200247237901
319,9,9,9,FALSE,0.394624083947354,0.506638020418475
320,3,3,3,FALSE,-0.124467743863469,-0.134679855136778
321,9,9,9,FALSE,0.415344946629059,0.52887251075688
322,8,8,8,FALSE,0.634526454693822,0.564455016116429
323,9,9,9,FALSE,0.376088009832563,0.473953285143939
324,5,5,5,FALSE,0.732674698409535,0.677351605285241
325,9,9,9,FALSE,0.416471035910484,0.370406813543576
326,9,9,9,FALSE,0.138194903737352,0.333450963957514
327,5,5,5,FALSE,0.770946286755011,0.71329800553716
328,9,6,6,TRUE,0.177201442343714,0.00901319899408367
329,8,8,8,FALSE,0.628015396037758,0.524285153408648
330,3,3,3,FALSE,0.577750780722194,0.539123894822046
331,9,9,9,FALSE,0.177051495543064,-0.0388074308109047
332,9,6,6,TRUE,0.177051495543064,0.007138981982955
333,3,3,3,FALSE,0.114759601387369,0.156706817448751
334,3,3,3,FALSE,0.115813256865319,0.158287055881511
335,2,2,2,FALSE,0.74184593215347,0.703163821060489
336,3,3,3,FALSE,0.607510440725432,0.54966916143498
337,8,8,8,FALSE,0.6461460617306,0.591254702778983
338,3,3,3,FALSE,0.163726980059115,-0.0274999501062246
339,7,7,7,FALSE,0.102236830844005,0.139355632816324
340,9,9,9,FALSE,0.397677561827406,0.438473124748085
341,8,8,8,FALSE,0.520036858118115,0.507534730526358
342,2,2,2,FALSE,0.689721204320912,0.64587736100312
343,5,5,5,FALSE,0.557612362486647,0.515563221465439
344,5,5,5,FALSE,0.703151322032131,0.638496737100196
345,2,2,2,FALSE,0.67581879297602,0.631032244827422
346,8,8,8,FALSE,0.556043403784066,0.518621017075798
347,5,5,5,FALSE,0.717086748348586,0.644919700086224
348,2,2,2,FALSE,0.496718369937614,0.467768781576491
349,5,5,5,FALSE,0.45152158987088,0.42026224258279
350,5,5,5,FALSE,0.482163222892517,0.444799878337631
351,8,8,8,FALSE,0.733165576958812,0.64224733164334
352,8,8,8,FALSE,0.76135060017438,0.670454427661202
353,8,8,8,FALSE,0.761879680016425,0.67263531077943
354,8,8,8,FALSE,0.718417764780828,0.649109741758992
355,12,12,12,FALSE,0.388889417972315,0.360566338910084
356,12,12,12,FALSE,0.510392743657634,0.463413744205435
357,8,8,8,FALSE,0.736926570842126,0.667471142006972
