"id","escenario","tipo_escenario","evidencia_retirada","pregunta","aporte_conservada","aporte_degradada","transferencia_conservada","transferencia_degradada","receptora_conservada","receptora_degradada","UREH_predicha","prob_UREH_predicha","entropia_UREH"
328,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.231028092492697,0.129152461634153,0.225294611805802,0.126186868175415,0.211897519098311,0.076440446793621,"aporte_conservada",0.231028092492697,0.962830910432504
329,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.131192483471624,0.234972134711807,0.128529460366325,0.229823623374895,0.100278056162051,0.175204241913298,"aporte_degradada",0.234972134711807,0.973454274437154
330,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.267325563711871,0.0927428128564326,0.260518651226254,0.0907407797724278,0.212155785061875,0.0765164073711397,"aporte_conservada",0.267325563711871,0.930363994141851
331,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.231028092492697,0.129152461634153,0.225294611805802,0.126186868175415,0.211897519098311,0.076440446793621,"aporte_conservada",0.231028092492697,0.962830910432504
332,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.231028092492697,0.129152461634153,0.225294611805802,0.126186868175415,0.211897519098311,0.076440446793621,"aporte_conservada",0.231028092492697,0.962830910432504
333,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.271134276179882,0.0938630224058478,0.265210167838375,0.0921206375995222,0.203655555981742,0.07401633999463,"aporte_conservada",0.271134276179882,0.928915933154426
334,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.268382724283716,0.0930537424363872,0.264137574314449,0.0918051689160144,0.207479701401835,0.0751410886475985,"aporte_conservada",0.268382724283716,0.929623384640258
335,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.235332728203696,0.131378997346739,0.230139412558767,0.128692799599362,0.174527859237537,0.0999282030538983,"aporte_conservada",0.235332728203696,0.973295300943078
336,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.267325563711871,0.0927428128564326,0.260518651226254,0.0907407797724278,0.212155785061875,0.0765164073711397,"aporte_conservada",0.267325563711871,0.930363994141851
337,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.129702993944485,0.232092454959337,0.128524241517515,0.229813533600529,0.101772764538,0.178094011440134,"aporte_degradada",0.232092454959337,0.974117601293665
338,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.267237284239344,0.0927168483056893,0.260343907121396,0.0906893844474694,0.21241880863926,0.0765937672468413,"aporte_conservada",0.267237284239344,0.930402924021447
339,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.129114219284649,0.230954157283655,0.126111169658642,0.22514826134004,0.10477461105671,0.183897581376305,"aporte_degradada",0.230954157283655,0.975225352374412
340,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.131192483471625,0.234972134711807,0.128529460366325,0.229823623374895,0.100278056162051,0.175204241913298,"aporte_degradada",0.234972134711807,0.973454274437154
341,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.141936943637385,0.255744757698944,0.136780942762029,0.245776489339923,0.0812821136005857,0.138478752961132,"aporte_degradada",0.255744757698944,0.960306232142083
342,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.233108489081084,0.130228528835044,0.242718374764231,0.135199159360809,0.164173136154685,0.0945723118041473,"transferencia_conservada",0.242718374764231,0.970437620466991
343,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130269950867711,0.233188571677575,0.134919237054248,0.242177191638213,0.0948108120780406,0.164634236684212,"transferencia_degradada",0.242177191638213,0.970587441175443
344,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.140584167573478,0.253129390642057,0.137321921216596,0.246822381018753,0.0820939112099262,0.140048228339191,"aporte_degradada",0.253129390642057,0.961110402024816
345,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.255814948789968,0.141973249374121,0.245790407694272,0.13678814191083,0.13839464351576,0.0812386087150484,"aporte_conservada",0.255814948789968,0.960264327833675
346,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.141936943637385,0.255744757698944,0.136780942762029,0.245776489339923,0.0812821136005857,0.138478752961132,"aporte_degradada",0.255744757698944,0.960306232142083
347,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.139902194211573,0.251810908809042,0.137574435780449,0.247310575842201,0.0825233700079779,0.140878515348757,"aporte_degradada",0.251810908809042,0.961518570899833
348,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.255814948789968,0.141973249374121,0.245790407694272,0.13678814191083,0.13839464351576,0.0812386087150484,"aporte_conservada",0.255814948789968,0.960264327833675
349,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.142031819493917,0.255928184354906,0.136799755915822,0.245812861437257,0.0811684245902607,0.138258954207837,"aporte_degradada",0.255928184354906,0.960196603328277
350,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.142031819493917,0.255928184354906,0.136799755915822,0.245812861437257,0.0811684245902607,0.138258954207837,"aporte_degradada",0.255928184354906,0.960196603328277
351,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.129094163553171,0.230915382869464,0.126071470499324,0.225071509632025,0.104834365947505,0.184013107498511,"aporte_degradada",0.230915382869464,0.975245353733788
352,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.129094163553171,0.230915382869464,0.126071470499324,0.225071509632025,0.104834365947505,0.184013107498511,"aporte_degradada",0.230915382869464,0.975245353733788
353,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.129102950953027,0.230932371842519,0.126148974979451,0.225221351626939,0.104748074067522,0.183846276530542,"aporte_degradada",0.230932371842519,0.975217253353967
354,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.134465653004992,0.241300262476318,0.139555604310316,0.251140834999944,0.0859787426846923,0.147558902523739,"transferencia_degradada",0.251140834999944,0.964423876317547
355,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.233894672531769,0.130635175447467,0.254403090040187,0.141242977606993,0.151702237428044,0.08812184694554,"transferencia_conservada",0.254403090040187,0.965829081631543
356,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.248934268213113,0.138414276661955,0.248341217226614,0.138107526151697,0.142724514560273,0.0834781971863483,"aporte_conservada",0.248934268213113,0.962388393333865
357,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130583411896717,0.233794596333653,0.140676072396901,0.253307073300675,0.088740515706382,0.152898330365672,"transferencia_degradada",0.253307073300675,0.96632434169326
358,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130623799170796,0.233872678396872,0.14123351142122,0.254384788747692,0.0881426894079842,0.151742532855436,"transferencia_degradada",0.254384788747692,0.96584466314541
359,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.131746030422223,0.236042325482964,0.140565608147343,0.253093509084863,0.0876883614304345,0.150864165432173,"transferencia_degradada",0.253093509084863,0.965609476742342
360,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.129094163553171,0.230915382869464,0.126071470499324,0.225071509632025,0.104834365947505,0.184013107498511,"aporte_degradada",0.230915382869464,0.975245353733788
361,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.129094163553171,0.230915382869464,0.126071470499324,0.225071509632025,0.104834365947505,0.18401310749851,"aporte_degradada",0.230915382869464,0.975245353733788
362,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.231257927028885,0.129271341566665,0.227836311854795,0.127501540614549,0.18090576111632,0.103227117818786,"aporte_conservada",0.231257927028885,0.974687547301784
363,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130637213888723,0.233898613518198,0.141206207359226,0.254332000894504,0.0881565787520507,0.151769385587298,"transferencia_degradada",0.254332000894504,0.965857854830341
364,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.255814948789968,0.141973249374121,0.245790407694272,0.13678814191083,0.13839464351576,0.0812386087150484,"aporte_conservada",0.255814948789968,0.960264327833675
365,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.236218592886363,0.131837203217084,0.253055179090029,0.140545782287946,0.150726228023608,0.0876170144949697,"transferencia_conservada",0.253055179090029,0.965560907091656
366,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.233921255660536,0.130648925341656,0.254350841393191,0.141215952444754,0.151727902946274,0.0881351222135899,"transferencia_conservada",0.254350841393191,0.965841821213291
367,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.254375998161023,0.141228964566046,0.246323856230341,0.137064063567418,0.139300145608636,0.081706971866536,"aporte_conservada",0.254375998161023,0.960732122199583
368,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130637674277758,0.233899503603665,0.139827788262786,0.251667057308052,0.0895345374594567,0.154433439088283,"transferencia_degradada",0.251667057308052,0.966957304196188
369,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130237689162806,0.233126199048091,0.135904288515169,0.24408162446266,0.0938580223220254,0.162792176489249,"transferencia_degradada",0.24408162446266,0.969986481968325
370,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.255814948789968,0.141973249374121,0.245790407694272,0.13678814191083,0.13839464351576,0.0812386087150484,"aporte_conservada",0.255814948789968,0.960264327833675
371,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130720891983505,0.23406039116811,0.141037388535656,0.254005617835601,0.0882417194808391,0.151933990996289,"transferencia_degradada",0.254005617835601,0.965938573417297
372,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.296472698581342,0.101315499582748,0.284719788331215,0.0978587612738869,0.158807513087443,0.0608257391433656,"aporte_conservada",0.296472698581342,0.915330765965056
373,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.243599617889331,0.135654974770344,0.250318881608155,0.139130456004218,0.146081500502513,0.0852145692254379,"transferencia_conservada",0.250318881608155,0.963838592103283
374,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.236218592886363,0.131837203217084,0.253055179090029,0.140545782287946,0.150726228023608,0.0876170144949697,"transferencia_conservada",0.253055179090029,0.965560907091656
375,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.253271236547179,0.140657536145093,0.246733414038479,0.137275903813007,0.139995349414341,0.0820665600419006,"aporte_conservada",0.253271236547179,0.961082811542913
376,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130529441784606,0.233690254116904,0.139931158378217,0.251866906197886,0.0895393998371775,0.15444283968521,"transferencia_degradada",0.251866906197886,0.966948275930557
377,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.230852830163245,0.129061808705127,0.224947690171603,0.126007425950829,0.184199479665152,0.104930765344044,"aporte_conservada",0.230852830163245,0.97527743865914
378,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.129144408170887,0.231012522463715,0.126514625817064,0.225928276579657,0.104340966012049,0.183059200956628,"aporte_degradada",0.231012522463715,0.975081882830056
379,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.246104444920818,0.136950574959044,0.249269145241922,0.138587488918236,0.14462640983726,0.0844619361227207,"transferencia_conservada",0.249269145241922,0.963233276178834
380,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130495915970246,0.233625437542475,0.139216185218498,0.250484624755763,0.0902878988112563,0.155889937701762,"transferencia_degradada",0.250484624755763,0.967517112095695
381,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.129206507717087,0.231132581586368,0.127062341082473,0.226987192759447,0.10373115120044,0.181880225654184,"aporte_degradada",0.231132581586368,0.974870458957562
382,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.138204454328943,0.248528611702623,0.138203058641612,0.248525913373783,0.0835924870294451,0.142945474923594,"aporte_degradada",0.248528611702623,0.962489142607241
