"id","runoff_network_low","runoff_network_medium","runoff_network_high","runoff_TM_low","runoff_TM_medium","runoff_TM_high","MAP_runoff_network","MAP_runoff_TM","JS_runoff","H_runoff_network","H_runoff_TM","delta_H_runoff","UREH_network_aporte_conservada","UREH_network_aporte_degradada","UREH_network_transferencia_conservada","UREH_network_transferencia_degradada","UREH_network_receptora_conservada","UREH_network_receptora_degradada","UREH_TM_aporte_conservada","UREH_TM_aporte_degradada","UREH_TM_transferencia_conservada","UREH_TM_transferencia_degradada","UREH_TM_receptora_conservada","UREH_TM_receptora_degradada","MAP_UREH_network","MAP_UREH_TM","JS_UREH","H_UREH_network","H_UREH_TM","delta_H_UREH","runoff_MAP_changed","UREH_MAP_changed"
490,0.61,0.245,0.145,0.965699208443272,0.0215479331574318,0.0127528583992964,"esc_baja","esc_baja",0.394224041935883,0.842982251726282,0.156582359929188,-0.686399891797095,0.155865,0.090275,0.35524,0.1934,0.128895,0.076325,0.190645998240985,0.108265171503958,0.31397889182058,0.172058047493404,0.135375109938434,0.0796767810026385,"transferencia_conservada","transferencia_conservada",0.0574563291917433,0.922374528809363,0.94625592447414,0.0238813956647774,FALSE,FALSE
491,0.175,0.64,0.185,0.157408999978505,0.821337231938106,0.0212537680833887,"esc_media","esc_media",0.24948998620496,0.821775145200831,0.486563376868238,-0.335211768332592,0.11686,0.0701,0.4057,0.2195,0.11744,0.0704,0.120078223723712,0.0717645984777819,0.407740556002493,0.22055546000129,0.112181220273795,0.0676799415209284,"transferencia_conservada","transferencia_conservada",0.0093989078419318,0.878679781883175,0.876474805479413,-0.00220497640376216,FALSE,FALSE
492,0.59,0.255,0.155,0.89373452525269,0.0909967171960379,0.0152687575512726,"esc_baja","esc_baja",0.315988904354858,0.863571156866974,0.348051816365797,-0.515519340501177,0.34277,0.18695,0.177615,0.101525,0.119615,0.071525,0.317048985473318,0.173646026968958,0.190475507263341,0.108176986515521,0.132475507263341,0.0781769865155213,"aporte_conservada","aporte_conservada",0.0334721721417347,0.927769419019908,0.944141934670403,0.0163725156504957,FALSE,FALSE
493,0.145,0.245,0.61,0.0280735721200387,0.853823814133592,0.11810261374637,"esc_alta","esc_media",0.539649333999364,0.842982251726283,0.443765212253567,-0.399217039472716,0.39497,0.21395,0.151515,0.088025,0.093515,0.058025,0.373221684414327,0.20270087124879,0.162389157792836,0.093649564375605,0.104389157792836,0.063649564375605,"aporte_conservada","aporte_conservada",0.0289790644950852,0.883733523318399,0.90386909935513,0.0201355760367312,TRUE,FALSE
494,0.175,0.64,0.185,0.281601170261516,0.692199794537768,0.026199035200716,"esc_media","esc_media",0.241411645226145,0.821775145200831,0.643473171536293,-0.178301973664538,0.42868,0.1402,0.18966,0.0699,0.12166,0.0499,0.410632654815866,0.134891957298784,0.198683672592067,0.072554021350608,0.130683672592067,0.052554021350608,"aporte_conservada","aporte_conservada",0.0202877311244381,0.862684373854597,0.875056817956473,0.0123724441018762,FALSE,FALSE
495,0.175,0.64,0.185,0.0147306397306397,0.96969696969697,0.0155723905723906,"esc_media","esc_media",0.377926264157935,0.821775145200831,0.142713428475111,-0.67906171672572,0.11686,0.0701,0.4057,0.2195,0.11744,0.0704,0.107829966329966,0.0654292929292929,0.424291245791246,0.229116161616162,0.107878787878788,0.0654545454545455,"transferencia_conservada","transferencia_conservada",0.0249974790800678,0.878679781883175,0.858716238328341,-0.0199635435548342,FALSE,FALSE
496,0.59,0.255,0.155,0.962828649138713,0.0231187669990934,0.014052583862194,"esc_baja","esc_baja",0.404754508247882,0.863571156866974,0.1670255104958,-0.696545646371175,0.058475,0.094385,0.088475,0.152385,0.21305,0.39323,0.0507683590208522,0.079485494106981,0.0807683590208522,0.137485494106981,0.228463281958296,0.423029011786038,"receptora_degradada","receptora_degradada",0.0405812408125765,0.885440595488613,0.853827266990514,-0.0316133284980998,FALSE,FALSE
497,0.645,0.2275,0.1275,0.970330129544505,0.0190137902214793,0.0106560802340159,"esc_baja","esc_baja",0.375148658849887,0.803083415349579,0.139234822510733,-0.663848592838846,0.0919925,0.0572375,0.1499925,0.0872375,0.398015,0.215525,0.0791694525699958,0.0506048892603427,0.137169452569996,0.0806048892603427,0.423661094860008,0.228790221479315,"receptora_conservada","receptora_conservada",0.0350257010525466,0.88070538177229,0.853100851254593,-0.0276045305176964,FALSE,FALSE
498,0.185,0.62,0.195,0.0978954946511263,0.882072237523435,0.0200322678254389,"esc_media","esc_media",0.293040424143094,0.844090741204695,0.379126381423481,-0.464964359781214,0.42868,0.1402,0.18966,0.0699,0.12166,0.0499,0.422705300575853,0.138442735463486,0.192647349712073,0.0707786322682569,0.124647349712073,0.0507786322682569,"aporte_conservada","aporte_conservada",0.00673440372977999,0.862684373854597,0.866921529315763,0.00423715546116621,FALSE,FALSE
499,0.185,0.62,0.195,0.0628063333898538,0.918504935704636,0.0186887309055101,"esc_media","esc_media",0.323815471830267,0.844090741204695,0.296999567092718,-0.547091174111978,0.11744,0.0704,0.40454,0.2189,0.11802,0.0707,0.111922177808657,0.0675459540389608,0.418714465326777,0.226231619996609,0.109363356864566,0.0662224259644305,"transferencia_conservada","transferencia_conservada",0.0192996862304152,0.879861780602772,0.864896354195356,-0.0149654264074158,FALSE,FALSE
