"id","UREH_predicha","prob_UREH_predicha","UREH_segunda","prob_UREH_segunda","margen_clasificacion","entropia_UREH"
77,"receptora_conservada",0.411867310012063,"receptora_degradada",0.222689987937274,0.189177322074789,0.86626714745867
78,"transferencia_conservada",0.373288705109527,"transferencia_degradada",0.202735537125618,0.17055316798391,0.908498097566449
79,"receptora_conservada",0.492516772438803,"receptora_degradada",0.15897552130553,0.333541251133273,0.808399656748307
80,"receptora_degradada",0.412356781091728,"receptora_conservada",0.222943162633652,0.189413618458075,0.865736866367805
81,"transferencia_conservada",0.334075471698113,"transferencia_degradada",0.182452830188679,0.151622641509434,0.93569836589839
82,"receptora_conservada",0.423029011786038,"receptora_degradada",0.228463281958296,0.194565729827743,0.853827266990514
83,"aporte_conservada",0.334522366522366,"aporte_degradada",0.182683982683983,0.151838383838384,0.93339723503075
84,"aporte_degradada",0.312970988213962,"transferencia_degradada",0.192514505893019,0.120456482320943,0.946419676621854
85,"receptora_degradada",0.422353634577603,"receptora_conservada",0.22811394891945,0.194239685658153,0.854600815359022
86,"receptora_conservada",0.423029011786038,"receptora_degradada",0.228463281958296,0.194565729827743,0.853827266990514
87,"receptora_conservada",0.401477633477633,"receptora_degradada",0.217316017316017,0.184161616161616,0.877198558299002
88,"aporte_degradada",0.323643218908272,"transferencia_degradada",0.187178390545864,0.136464828362409,0.940274767874134
89,"receptora_degradada",0.412147165259349,"receptora_conservada",0.222834740651387,0.189312424607961,0.865964128793933
90,"aporte_conservada",0.377277987421384,"transferencia_conservada",0.215361006289308,0.161916981132075,0.894602776782792
91,"aporte_conservada",0.363483227561197,"transferencia_conservada",0.222258386219402,0.141224841341795,0.901439480212449
92,"receptora_conservada",0.411262893081761,"receptora_degradada",0.222377358490566,0.188885534591195,0.866920046493034
93,"aporte_degradada",0.352023524672751,"aporte_conservada",0.191736305865216,0.160287218807535,0.921028475206317
94,"receptora_conservada",0.493067463706234,"receptora_degradada",0.159137489325363,0.333929974380871,0.807856932855058
95,"receptora_conservada",0.483529524723956,"transferencia_conservada",0.162235237638022,0.321294287085934,0.817070616296865
96,"aporte_conservada",0.363483227561197,"transferencia_conservada",0.222258386219402,0.141224841341795,0.901439480212449
97,"receptora_conservada",0.467249639249639,"transferencia_conservada",0.17037518037518,0.296874458874459,0.831899857111303
98,"aporte_conservada",0.370337476139699,"aporte_degradada",0.201209039382603,0.169128436757096,0.906345491645356
99,"aporte_conservada",0.324132689987937,"transferencia_conservada",0.186933655006031,0.137199034981906,0.939978651145875
100,"receptora_conservada",0.479430639324487,"transferencia_conservada",0.164284680337756,0.315145958986731,0.820909852484833
101,"aporte_conservada",0.363483227561197,"transferencia_conservada",0.222258386219402,0.141224841341795,0.901439480212449
102,"receptora_degradada",0.423270888302551,"receptora_conservada",0.228588390501319,0.194682497801231,0.853549573152347
103,"transferencia_conservada",0.338623376623377,"transferencia_degradada",0.184805194805195,0.153818181818182,0.933700321711608
104,"aporte_conservada",0.312729111697449,"transferencia_conservada",0.192635444151275,0.120093667546174,0.946552043807644
105,"aporte_degradada",0.313646365422397,"transferencia_degradada",0.192176817288802,0.121469548133595,0.946048456170975
106,"receptora_conservada",0.411867310012063,"receptora_degradada",0.222689987937274,0.189177322074789,0.86626714745867
107,"aporte_conservada",0.312970988213962,"transferencia_conservada",0.192514505893019,0.120456482320943,0.946419676621854
108,"aporte_conservada",0.377277987421384,"transferencia_conservada",0.215361006289308,0.161916981132075,0.894602776782792
109,"aporte_conservada",0.312970988213962,"transferencia_conservada",0.192514505893019,0.120456482320943,0.946419676621854
110,"aporte_conservada",0.334522366522366,"aporte_degradada",0.182683982683983,0.151838383838384,0.93339723503075
111,"aporte_conservada",0.377277987421384,"transferencia_conservada",0.215361006289308,0.161916981132075,0.894602776782792
112,"aporte_conservada",0.388750360750361,"transferencia_conservada",0.20962481962482,0.179125541125541,0.888362504869524
113,"aporte_conservada",0.312970988213962,"transferencia_conservada",0.192514505893019,0.120456482320943,0.946419676621854
114,"aporte_conservada",0.334522366522366,"aporte_degradada",0.182683982683983,0.151838383838384,0.93339723503075
115,"aporte_conservada",0.373221684414327,"aporte_degradada",0.20270087124879,0.170520813165537,0.90386909935513
116,"receptora_conservada",0.467249639249639,"transferencia_conservada",0.17037518037518,0.296874458874459,0.831899857111303
117,"aporte_conservada",0.377277987421384,"transferencia_conservada",0.215361006289308,0.161916981132075,0.894602776782792
118,"receptora_degradada",0.423270888302551,"receptora_conservada",0.228588390501319,0.194682497801231,0.853549573152347
119,"aporte_conservada",0.334522366522366,"aporte_degradada",0.182683982683983,0.151838383838384,0.93339723503075
120,"aporte_conservada",0.361598870295199,"aporte_degradada",0.196689070842344,0.164909799452854,0.91357513735239
121,"aporte_conservada",0.388750360750361,"transferencia_conservada",0.20962481962482,0.179125541125541,0.888362504869524
122,"aporte_degradada",0.373747747747748,"aporte_conservada",0.202972972972973,0.170774774774775,0.903412568525205
