"id","cluster_C2","UREH_predicha","funcion","condicion"
336,3,"aporte_conservada","aporte","conservada"
337,8,"aporte_degradada","aporte","degradada"
338,3,"aporte_conservada","aporte","conservada"
339,7,"aporte_degradada","aporte","degradada"
340,9,"aporte_degradada","aporte","degradada"
341,8,"receptora_degradada","recepcion","degradada"
342,2,"transferencia_conservada","transferencia","conservada"
343,5,"aporte_degradada","aporte","degradada"
344,5,"aporte_degradada","aporte","degradada"
345,2,"transferencia_conservada","transferencia","conservada"
346,8,"receptora_degradada","recepcion","degradada"
347,5,"receptora_degradada","recepcion","degradada"
348,2,"transferencia_conservada","transferencia","conservada"
349,5,"receptora_degradada","recepcion","degradada"
350,5,"receptora_degradada","recepcion","degradada"
351,8,"receptora_degradada","recepcion","degradada"
352,8,"receptora_degradada","recepcion","degradada"
353,8,"receptora_degradada","recepcion","degradada"
354,8,"receptora_degradada","recepcion","degradada"
355,12,"receptora_conservada","recepcion","conservada"
356,12,"receptora_conservada","recepcion","conservada"
357,8,"aporte_degradada","aporte","degradada"
358,8,"receptora_degradada","recepcion","degradada"
359,8,"receptora_degradada","recepcion","degradada"
360,8,"receptora_degradada","recepcion","degradada"
361,8,"aporte_degradada","aporte","degradada"
362,12,"aporte_conservada","aporte","conservada"
363,8,"aporte_degradada","aporte","degradada"
364,12,"aporte_conservada","aporte","conservada"
365,12,"receptora_conservada","recepcion","conservada"
366,12,"aporte_conservada","aporte","conservada"
367,2,"aporte_conservada","aporte","conservada"
368,5,"transferencia_degradada","transferencia","degradada"
369,8,"transferencia_degradada","transferencia","degradada"
370,2,"transferencia_conservada","transferencia","conservada"
371,5,"transferencia_degradada","transferencia","degradada"
372,1,"aporte_conservada","aporte","conservada"
373,2,"transferencia_conservada","transferencia","conservada"
374,2,"aporte_conservada","aporte","conservada"
375,2,"aporte_conservada","aporte","conservada"
376,8,"receptora_degradada","recepcion","degradada"
377,4,"transferencia_conservada","transferencia","conservada"
378,8,"transferencia_degradada","transferencia","degradada"
379,4,"transferencia_conservada","transferencia","conservada"
380,6,"transferencia_degradada","transferencia","degradada"
381,8,"receptora_degradada","recepcion","degradada"
382,5,"aporte_degradada","aporte","degradada"
383,8,"transferencia_degradada","transferencia","degradada"
384,5,"transferencia_degradada","transferencia","degradada"
385,4,"aporte_conservada","aporte","conservada"
386,6,"transferencia_degradada","transferencia","degradada"
387,2,"transferencia_conservada","transferencia","conservada"
388,6,"transferencia_degradada","transferencia","degradada"
389,2,"receptora_conservada","recepcion","conservada"
390,5,"aporte_degradada","aporte","degradada"
391,2,"aporte_conservada","aporte","conservada"
392,8,"receptora_degradada","recepcion","degradada"
393,6,"transferencia_degradada","transferencia","degradada"
394,5,"transferencia_degradada","transferencia","degradada"
395,6,"transferencia_degradada","transferencia","degradada"
396,9,"receptora_degradada","recepcion","degradada"
397,5,"aporte_degradada","aporte","degradada"
398,5,"receptora_degradada","recepcion","degradada"
399,6,"transferencia_degradada","transferencia","degradada"
400,5,"receptora_degradada","recepcion","degradada"
401,5,"receptora_degradada","recepcion","degradada"
402,6,"transferencia_degradada","transferencia","degradada"
403,2,"aporte_conservada","aporte","conservada"
404,2,"transferencia_conservada","transferencia","conservada"
405,2,"aporte_conservada","aporte","conservada"
406,2,"aporte_conservada","aporte","conservada"
407,1,"aporte_conservada","aporte","conservada"
408,2,"transferencia_conservada","transferencia","conservada"
409,1,"aporte_conservada","aporte","conservada"
410,1,"aporte_conservada","aporte","conservada"
411,2,"transferencia_conservada","transferencia","conservada"
412,2,"transferencia_conservada","transferencia","conservada"
413,1,"aporte_conservada","aporte","conservada"
414,1,"transferencia_conservada","transferencia","conservada"
415,1,"transferencia_conservada","transferencia","conservada"
416,1,"aporte_conservada","aporte","conservada"
417,10,"aporte_conservada","aporte","conservada"
418,1,"aporte_conservada","aporte","conservada"
419,2,"aporte_conservada","aporte","conservada"
420,2,"aporte_conservada","aporte","conservada"
421,10,"aporte_conservada","aporte","conservada"
422,10,"aporte_conservada","aporte","conservada"
423,1,"aporte_conservada","aporte","conservada"
424,2,"transferencia_conservada","transferencia","conservada"
425,2,"aporte_conservada","aporte","conservada"
426,5,"aporte_degradada","aporte","degradada"
427,4,"transferencia_conservada","transferencia","conservada"
428,5,"transferencia_degradada","transferencia","degradada"
429,2,"transferencia_conservada","transferencia","conservada"
430,5,"transferencia_degradada","transferencia","degradada"
431,4,"aporte_conservada","aporte","conservada"
432,5,"transferencia_degradada","transferencia","degradada"
433,4,"aporte_conservada","aporte","conservada"
434,5,"transferencia_degradada","transferencia","degradada"
435,5,"aporte_degradada","aporte","degradada"
436,2,"aporte_conservada","aporte","conservada"
437,5,"transferencia_degradada","transferencia","degradada"
438,2,"aporte_conservada","aporte","conservada"
439,5,"aporte_degradada","aporte","degradada"
440,2,"aporte_conservada","aporte","conservada"
441,2,"aporte_conservada","aporte","conservada"
442,5,"transferencia_degradada","transferencia","degradada"
443,5,"aporte_degradada","aporte","degradada"
444,2,"transferencia_conservada","transferencia","conservada"
445,5,"transferencia_degradada","transferencia","degradada"
446,4,"transferencia_conservada","transferencia","conservada"
447,5,"receptora_degradada","recepcion","degradada"
448,2,"aporte_conservada","aporte","conservada"
449,2,"transferencia_conservada","transferencia","conservada"
450,1,"transferencia_conservada","transferencia","conservada"
451,2,"transferencia_conservada","transferencia","conservada"
452,2,"aporte_conservada","aporte","conservada"
453,1,"transferencia_conservada","transferencia","conservada"
454,1,"transferencia_conservada","transferencia","conservada"
455,5,"transferencia_degradada","transferencia","degradada"
456,2,"aporte_conservada","aporte","conservada"
457,2,"transferencia_conservada","transferencia","conservada"
458,10,"aporte_conservada","aporte","conservada"
459,2,"transferencia_conservada","transferencia","conservada"
460,5,"transferencia_degradada","transferencia","degradada"
461,5,"transferencia_degradada","transferencia","degradada"
462,2,"aporte_conservada","aporte","conservada"
463,2,"transferencia_conservada","transferencia","conservada"
464,2,"transferencia_conservada","transferencia","conservada"
465,5,"transferencia_degradada","transferencia","degradada"
466,12,"aporte_conservada","aporte","conservada"
467,5,"aporte_degradada","aporte","degradada"
468,8,"transferencia_degradada","transferencia","degradada"
469,6,"transferencia_degradada","transferencia","degradada"
470,6,"transferencia_degradada","transferencia","degradada"
471,6,"transferencia_degradada","transferencia","degradada"
472,6,"transferencia_degradada","transferencia","degradada"
473,1,"aporte_conservada","aporte","conservada"
474,1,"transferencia_conservada","transferencia","conservada"
475,3,"aporte_conservada","aporte","conservada"
476,6,"aporte_conservada","aporte","conservada"
477,3,"aporte_conservada","aporte","conservada"
478,3,"aporte_conservada","aporte","conservada"
479,3,"aporte_conservada","aporte","conservada"
480,6,"aporte_conservada","aporte","conservada"
481,7,"aporte_conservada","aporte","conservada"
482,5,"aporte_degradada","aporte","degradada"
483,2,"transferencia_conservada","transferencia","conservada"
484,10,"aporte_conservada","aporte","conservada"
485,11,"transferencia_conservada","transferencia","conservada"
486,6,"transferencia_degradada","transferencia","degradada"
487,6,"transferencia_degradada","transferencia","degradada"
488,2,"aporte_conservada","aporte","conservada"
489,3,"aporte_conservada","aporte","conservada"
490,4,"transferencia_conservada","transferencia","conservada"
491,2,"transferencia_conservada","transferencia","conservada"
492,2,"aporte_conservada","aporte","conservada"
493,2,"aporte_conservada","aporte","conservada"
494,1,"aporte_conservada","aporte","conservada"
495,2,"transferencia_conservada","transferencia","conservada"
496,9,"receptora_degradada","recepcion","degradada"
497,4,"receptora_conservada","recepcion","conservada"
498,1,"aporte_conservada","aporte","conservada"
499,2,"transferencia_conservada","transferencia","conservada"
500,2,"transferencia_conservada","transferencia","conservada"
501,11,"aporte_degradada","aporte","degradada"
502,5,"aporte_degradada","aporte","degradada"
503,2,"transferencia_conservada","transferencia","conservada"
504,4,"transferencia_conservada","transferencia","conservada"
505,7,"aporte_conservada","aporte","conservada"
506,1,"aporte_conservada","aporte","conservada"
507,10,"aporte_conservada","aporte","conservada"
508,2,"transferencia_conservada","transferencia","conservada"
509,8,"aporte_degradada","aporte","degradada"
510,8,"receptora_degradada","recepcion","degradada"
511,8,"transferencia_degradada","transferencia","degradada"
512,9,"transferencia_degradada","transferencia","degradada"
513,5,"receptora_degradada","recepcion","degradada"
514,4,"receptora_conservada","recepcion","conservada"
515,5,"transferencia_degradada","transferencia","degradada"
516,10,"aporte_conservada","aporte","conservada"
517,10,"aporte_conservada","aporte","conservada"
518,11,"aporte_degradada","aporte","degradada"
519,8,"transferencia_degradada","transferencia","degradada"
520,8,"transferencia_degradada","transferencia","degradada"
521,10,"transferencia_conservada","transferencia","conservada"
522,2,"transferencia_conservada","transferencia","conservada"
523,10,"aporte_conservada","aporte","conservada"
524,9,"transferencia_degradada","transferencia","degradada"
525,12,"aporte_conservada","aporte","conservada"
526,5,"receptora_degradada","recepcion","degradada"
527,11,"transferencia_conservada","transferencia","conservada"
528,12,"aporte_conservada","aporte","conservada"
529,11,"aporte_degradada","aporte","degradada"
530,6,"aporte_degradada","aporte","degradada"
531,5,"aporte_degradada","aporte","degradada"
532,5,"transferencia_degradada","transferencia","degradada"
533,5,"transferencia_degradada","transferencia","degradada"
534,2,"aporte_conservada","aporte","conservada"
535,5,"aporte_degradada","aporte","degradada"
536,5,"aporte_degradada","aporte","degradada"
537,5,"transferencia_degradada","transferencia","degradada"
538,8,"receptora_degradada","recepcion","degradada"
539,5,"transferencia_degradada","transferencia","degradada"
540,2,"aporte_conservada","aporte","conservada"
541,6,"aporte_degradada","aporte","degradada"
542,6,"transferencia_degradada","transferencia","degradada"
543,8,"aporte_degradada","aporte","degradada"
544,6,"transferencia_degradada","transferencia","degradada"
545,9,"receptora_degradada","recepcion","degradada"
546,9,"receptora_degradada","recepcion","degradada"
547,8,"receptora_degradada","recepcion","degradada"
548,9,"receptora_degradada","recepcion","degradada"
549,6,"transferencia_degradada","transferencia","degradada"
550,12,"transferencia_degradada","transferencia","degradada"
551,10,"transferencia_conservada","transferencia","conservada"
552,1,"aporte_conservada","aporte","conservada"
553,12,"aporte_conservada","aporte","conservada"
554,8,"transferencia_degradada","transferencia","degradada"
555,2,"aporte_conservada","aporte","conservada"
556,10,"aporte_conservada","aporte","conservada"
557,2,"transferencia_conservada","transferencia","conservada"
558,12,"receptora_degradada","recepcion","degradada"
559,5,"aporte_degradada","aporte","degradada"
560,4,"aporte_conservada","aporte","conservada"
561,4,"aporte_conservada","aporte","conservada"
562,6,"transferencia_degradada","transferencia","degradada"
563,5,"transferencia_degradada","transferencia","degradada"
564,2,"transferencia_conservada","transferencia","conservada"
565,5,"transferencia_degradada","transferencia","degradada"
566,2,"aporte_conservada","aporte","conservada"
567,4,"transferencia_conservada","transferencia","conservada"
568,5,"aporte_degradada","aporte","degradada"
569,2,"aporte_conservada","aporte","conservada"
570,2,"transferencia_conservada","transferencia","conservada"
571,5,"receptora_degradada","recepcion","degradada"
572,2,"transferencia_conservada","transferencia","conservada"
573,5,"aporte_degradada","aporte","degradada"
574,5,"aporte_degradada","aporte","degradada"
575,5,"aporte_degradada","aporte","degradada"
576,5,"aporte_degradada","aporte","degradada"
577,3,"receptora_conservada","recepcion","conservada"
578,2,"receptora_conservada","recepcion","conservada"
579,5,"receptora_degradada","recepcion","degradada"
580,3,"aporte_conservada","aporte","conservada"
581,2,"transferencia_conservada","transferencia","conservada"
582,2,"aporte_conservada","aporte","conservada"
583,2,"aporte_conservada","aporte","conservada"
584,2,"receptora_conservada","recepcion","conservada"
