"id","UREH","probabilidad"
46,"aporte_conservada",0.101086100168824
46,"aporte_degradada",0.176766460326393
46,"transferencia_conservada",0.180770962296005
46,"transferencia_degradada",0.330823860438942
46,"receptora_conservada",0.0781429375351716
46,"receptora_degradada",0.132409679234665
47,"aporte_conservada",0.156119630842515
47,"aporte_degradada",0.0904067056081975
47,"transferencia_conservada",0.354643842339276
47,"transferencia_degradada",0.193091642589281
47,"receptora_conservada",0.129236526818209
47,"receptora_degradada",0.0765016518025218
48,"aporte_conservada",0.0664864864864865
48,"aporte_degradada",0.109873873873874
48,"transferencia_conservada",0.0964864864864865
48,"transferencia_degradada",0.167873873873874
48,"receptora_conservada",0.197027027027027
48,"receptora_degradada",0.362252252252252
49,"aporte_conservada",0.171536718041704
49,"aporte_degradada",0.312970988213962
49,"transferencia_conservada",0.109231640979148
49,"transferencia_degradada",0.192514505893019
49,"receptora_conservada",0.0792316409791478
49,"receptora_degradada",0.134514505893019
50,"aporte_conservada",0.106017424975799
50,"aporte_degradada",0.0644917715392062
50,"transferencia_conservada",0.422743465634076
50,"transferencia_degradada",0.228315585672798
50,"receptora_conservada",0.111239109390126
50,"receptora_degradada",0.0671926427879961
51,"aporte_conservada",0.359964059365218
51,"aporte_degradada",0.195843478982009
51,"transferencia_conservada",0.169017970317391
51,"transferencia_degradada",0.0970782605089954
51,"receptora_conservada",0.111017970317391
51,"receptora_degradada",0.0670782605089954
52,"aporte_conservada",0.0922754203267265
52,"aporte_degradada",0.0573838381000309
52,"transferencia_conservada",0.150275420326726
52,"transferencia_degradada",0.0873838381000309
52,"receptora_conservada",0.397449159346547
52,"receptora_degradada",0.215232323799938
53,"aporte_conservada",0.197712429228257
53,"aporte_degradada",0.36357736317463
53,"transferencia_conservada",0.0961437853858716
53,"transferencia_degradada",0.167211318412685
53,"receptora_conservada",0.0661437853858716
53,"receptora_degradada",0.109211318412685
54,"aporte_conservada",0.167427128427128
54,"aporte_degradada",0.0962554112554113
54,"transferencia_conservada",0.338623376623377
54,"transferencia_degradada",0.184805194805195
54,"receptora_conservada",0.133949494949495
54,"receptora_degradada",0.0789393939393939
55,"aporte_conservada",0.10770137524558
55,"aporte_degradada",0.189555992141454
55,"transferencia_conservada",0.172711198428291
55,"transferencia_degradada",0.315241650294695
55,"receptora_conservada",0.0795874263261297
55,"receptora_degradada",0.135202357563851
56,"aporte_conservada",0.167427128427128
56,"aporte_degradada",0.0962554112554113
56,"transferencia_conservada",0.338623376623377
56,"transferencia_degradada",0.184805194805195
56,"receptora_conservada",0.133949494949495
56,"receptora_degradada",0.0789393939393939
57,"aporte_conservada",0.10770137524558
57,"aporte_degradada",0.189555992141454
57,"transferencia_conservada",0.172711198428291
57,"transferencia_degradada",0.315241650294695
57,"receptora_conservada",0.0795874263261297
57,"receptora_degradada",0.135202357563851
58,"aporte_conservada",0.312729111697449
58,"aporte_degradada",0.171411609498681
58,"transferencia_conservada",0.192635444151275
58,"transferencia_degradada",0.10929419525066
58,"receptora_conservada",0.134635444151275
58,"receptora_degradada",0.0792941952506596
59,"aporte_conservada",0.373221684414327
59,"aporte_degradada",0.20270087124879
59,"transferencia_conservada",0.162389157792836
59,"transferencia_degradada",0.093649564375605
59,"receptora_conservada",0.104389157792836
59,"receptora_degradada",0.063649564375605
60,"aporte_conservada",0.079485494106981
60,"aporte_degradada",0.0507683590208522
60,"transferencia_conservada",0.137485494106981
60,"transferencia_degradada",0.0807683590208522
60,"receptora_conservada",0.423029011786038
60,"receptora_degradada",0.228463281958296
61,"aporte_conservada",0.0643243243243243
61,"aporte_degradada",0.105693693693694
61,"transferencia_conservada",0.228378378378378
61,"transferencia_degradada",0.422864864864865
61,"receptora_conservada",0.0672972972972973
61,"receptora_degradada",0.111441441441441
62,"aporte_conservada",0.0647083416672307
62,"aporte_degradada",0.106436127223313
62,"transferencia_conservada",0.0947083416672307
62,"transferencia_degradada",0.164436127223313
62,"receptora_conservada",0.200583316665538
62,"receptora_degradada",0.369127745553374
63,"aporte_conservada",0.223150081950342
63,"aporte_degradada",0.412756825103995
63,"transferencia_conservada",0.083424959024829
63,"transferencia_degradada",0.142621587448003
63,"receptora_conservada",0.053424959024829
63,"receptora_degradada",0.0846215874480026
64,"aporte_conservada",0.10770137524558
64,"aporte_degradada",0.189555992141454
64,"transferencia_conservada",0.172711198428291
64,"transferencia_degradada",0.315241650294695
64,"receptora_conservada",0.0795874263261297
64,"receptora_degradada",0.135202357563851
65,"aporte_conservada",0.0946364833581017
65,"aporte_degradada",0.0586050775990181
65,"transferencia_conservada",0.152636483358102
65,"transferencia_degradada",0.0886050775990181
65,"receptora_conservada",0.392727033283797
65,"receptora_degradada",0.212789844801964
66,"aporte_conservada",0.17188605108055
66,"aporte_degradada",0.313646365422397
66,"transferencia_conservada",0.109056974459725
66,"transferencia_degradada",0.192176817288802
66,"receptora_conservada",0.079056974459725
66,"receptora_degradada",0.134176817288802
67,"aporte_conservada",0.186377981020773
67,"aporte_degradada",0.341664096640161
67,"transferencia_conservada",0.101811009489613
67,"transferencia_degradada",0.178167951679919
67,"receptora_conservada",0.0718110094896135
67,"receptora_degradada",0.120167951679919
68,"aporte_conservada",0.202972972972973
68,"aporte_degradada",0.373747747747748
68,"transferencia_conservada",0.0935135135135135
68,"transferencia_degradada",0.162126126126126
68,"receptora_conservada",0.0635135135135135
68,"receptora_degradada",0.104126126126126
69,"aporte_conservada",0.0967182623885339
69,"aporte_degradada",0.0596818598561382
69,"transferencia_conservada",0.154718262388534
69,"transferencia_degradada",0.0896818598561382
69,"receptora_conservada",0.388563475222932
69,"receptora_degradada",0.210636280287724
70,"aporte_conservada",0.324737106918239
70,"aporte_degradada",0.177622641509434
70,"transferencia_conservada",0.186631446540881
70,"transferencia_degradada",0.106188679245283
70,"receptora_conservada",0.128631446540881
70,"receptora_degradada",0.076188679245283
71,"aporte_conservada",0.17188605108055
71,"aporte_degradada",0.313646365422397
71,"transferencia_conservada",0.109056974459725
71,"transferencia_degradada",0.192176817288802
71,"receptora_conservada",0.079056974459725
71,"receptora_degradada",0.134176817288802
72,"aporte_conservada",0.324737106918239
72,"aporte_degradada",0.177622641509434
72,"transferencia_conservada",0.186631446540881
72,"transferencia_degradada",0.106188679245283
72,"receptora_conservada",0.128631446540881
72,"receptora_degradada",0.076188679245283
73,"aporte_conservada",0.202972972972973
73,"aporte_degradada",0.373747747747748
73,"transferencia_conservada",0.0935135135135135
73,"transferencia_degradada",0.162126126126126
73,"receptora_conservada",0.0635135135135135
73,"receptora_degradada",0.104126126126126
74,"aporte_conservada",0.0853685534591195
74,"aporte_degradada",0.053811320754717
74,"transferencia_conservada",0.14336855345912
74,"transferencia_degradada",0.083811320754717
74,"receptora_conservada",0.411262893081761
74,"receptora_degradada",0.222377358490566
75,"aporte_conservada",0.0902611832611833
75,"aporte_degradada",0.0563419913419913
75,"transferencia_conservada",0.148261183261183
75,"transferencia_degradada",0.0863419913419913
75,"receptora_conservada",0.401477633477633
75,"receptora_degradada",0.217316017316017
76,"aporte_conservada",0.200087862860699
76,"aporte_degradada",0.368169868197351
76,"transferencia_conservada",0.0949560685696507
76,"transferencia_degradada",0.164915065901325
76,"receptora_conservada",0.0649560685696507
76,"receptora_degradada",0.106915065901325
77,"aporte_conservada",0.0850663449939686
77,"aporte_degradada",0.0536550060313631
77,"transferencia_conservada",0.143066344993969
77,"transferencia_degradada",0.0836550060313631
77,"receptora_conservada",0.411867310012063
77,"receptora_degradada",0.222689987937274
78,"aporte_conservada",0.142120598590876
78,"aporte_degradada",0.0831658268573498
78,"transferencia_conservada",0.373288705109527
78,"transferencia_degradada",0.202735537125618
78,"receptora_conservada",0.124590696299597
78,"receptora_degradada",0.0740986360170327
79,"aporte_conservada",0.0897416137805984
79,"aporte_degradada",0.0405122393472348
79,"transferencia_conservada",0.157741613780598
79,"transferencia_degradada",0.0605122393472348
79,"receptora_conservada",0.492516772438803
79,"receptora_degradada",0.15897552130553
80,"aporte_conservada",0.0535284186831739
80,"aporte_degradada",0.0848216094541362
80,"transferencia_conservada",0.0835284186831739
80,"transferencia_degradada",0.142821609454136
