"id","escenario","tipo_escenario","evidencia_retirada","pregunta","UREH_M0","UREH_escenario","MAP_estable","distancia_JS","entropia_M0","entropia_escenario","delta_entropia"
538,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_degradada","receptora_conservada",FALSE,0.154425400240627,0.908278600067441,0.928636699339969,0.020358099272528
539,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.165886169405925,0.860255559361577,0.879538832097808,0.019283272736231
540,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0693850798245859,0.908278600067441,0.926427962424532,0.018149362357091
541,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.253318373694105,0.82129114027205,0.888271202453561,0.066980062181511
542,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.160450679821003,0.858716238328341,0.878868914303892,0.020152675975551
543,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.165396818087632,0.889507647008624,0.91030633102428,0.0207986840156561
544,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.160450679821003,0.858716238328341,0.878868914303892,0.020152675975551
545,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_degradada","receptora_conservada",FALSE,0.166160708182333,0.853549573152347,0.872589262071467,0.01903968891912
546,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_degradada","receptora_conservada",FALSE,0.158724786768141,0.946419676621854,0.966124011014204,0.01970433439235
547,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_degradada","receptora_conservada",FALSE,0.16634956627976,0.862848298564846,0.881152604015915,0.018304305451069
548,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_degradada","receptora_conservada",FALSE,0.167083475179121,0.856740309565149,0.875300929981519,0.01856062041637
549,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.165925072860537,0.946105609084125,0.965206487465705,0.01910087838158
550,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.161637555999219,0.853501074712058,0.873600022883503,0.020098948171445
551,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_conservada","transferencia_conservada",TRUE,0.0808093987676781,0.852698679496852,0.872453347336706,0.019754667839854
552,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.167967724023487,0.8817082064253,0.946488983234545,0.064780776809245
553,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0719792856028081,0.914175773092122,0.933058770058298,0.018882996966176
554,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.165154537381593,0.94625592447414,0.965438496379936,0.019182571905796
555,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.069513566797428,0.908570991027147,0.926772792323957,0.01820180129681
556,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0701112334019483,0.90827739396938,0.926514770809666,0.018237376840286
557,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_conservada","transferencia_conservada",TRUE,0.074129895212955,0.860401964033812,0.879278467368306,0.018876503334494
558,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_degradada","receptora_conservada",FALSE,0.160542721118792,0.946764939956144,0.966341178913441,0.019576238957297
559,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.168111417969587,0.946048456170975,0.96495192548376,0.018903469312785
560,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.075152062071381,0.899636541698343,0.918277655344241,0.018641113645898
561,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0742831442265092,0.904976183840472,0.923684257017941,0.018708073177469
562,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.165925072860537,0.946105609084125,0.965206487465705,0.01910087838158
563,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.165886169405925,0.860255559361577,0.879538832097808,0.019283272736231
564,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_conservada","transferencia_conservada",TRUE,0.0756642023718736,0.860401964033812,0.879538832097808,0.0191368680639961
565,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.170278690645687,0.865732693987164,0.88293392404009,0.017201230052926
566,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0701112334019483,0.90827739396938,0.926514770809666,0.018237376840286
567,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_conservada","transferencia_conservada",TRUE,0.0755837829778918,0.94639690599231,0.965438496379936,0.019041590387626
568,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.165747339165451,0.923472686390497,0.941159255809465,0.0176865694189681
569,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0726090360229284,0.946419676621854,0.96495192548376,0.018532248861906
570,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_conservada","transferencia_conservada",TRUE,0.0726094006435623,0.946105609084125,0.964619404611931,0.018513795527806
571,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_degradada","receptora_conservada",FALSE,0.169116196946194,0.854600815359022,0.872876742454066,0.018275927095044
572,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_conservada","transferencia_conservada",TRUE,0.0744991992889006,0.930408793354635,0.948951850488759,0.018543057134124
573,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.157398095486557,0.939257496130944,0.958816471018097,0.019558974887153
574,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.156167593446629,0.940469646214226,0.960203028011109,0.019733381796883
575,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.156167593446629,0.940469646214226,0.960203028011109,0.019733381796883
576,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.156743147073798,0.940274767874134,0.960056752974027,0.019781985099893
577,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_conservada","receptora_conservada",TRUE,0.164947571642089,0.808399656748307,0.872876742454066,0.0644770857057589
578,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_conservada","receptora_conservada",TRUE,0.0841241561255821,0.866920046493034,0.88671380123838,0.0197937547453459
579,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_degradada","receptora_conservada",FALSE,0.169116196946193,0.854600815359022,0.872876742454066,0.018275927095044
580,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.164318633388851,0.901439480212449,0.96495192548376,0.0635124452713109
581,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_conservada","transferencia_conservada",TRUE,0.0809700161778376,0.936449967508952,0.956683317667039,0.0202333501580869
582,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0841165296538743,0.939611265505846,0.960056752974027,0.0204454874681811
583,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0841165296538743,0.939611265505846,0.960056752974027,0.0204454874681811
584,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_conservada","receptora_conservada",TRUE,0.0743345582905734,0.879514345314266,0.899152185420856,0.01963784010659
585,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_conservada","receptora_conservada",TRUE,0.0726116368476373,0.853827266990514,0.872876742454066,0.019049475463552
586,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0726090360229284,0.946419676621854,0.96495192548376,0.018532248861906
587,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.168111417969587,0.946048456170975,0.96495192548376,0.018903469312785
588,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_conservada","receptora_conservada",TRUE,0.176259392267247,0.821566331841558,0.88671380123838,0.0651474693968219
589,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_degradada","receptora_conservada",FALSE,0.160678296158113,0.866094000217192,0.88609500843333,0.020001008216138
590,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0841165296538743,0.939611265505846,0.960056752974027,0.0204454874681811
591,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0744498402474539,0.93339723503075,0.951906630879499,0.018509395848749
592,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0726090360229284,0.946419676621854,0.96495192548376,0.018532248861906
593,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_conservada","transferencia_conservada",TRUE,0.0841060558225446,0.93569836589839,0.956675885052475,0.0209775191540851
594,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_conservada","receptora_conservada",TRUE,0.0719332736978019,0.877198558299002,0.897023397893104,0.0198248395941021
595,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.164318633388851,0.901439480212449,0.96495192548376,0.0635124452713109
596,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_degradada","receptora_conservada",FALSE,0.166160708182334,0.853549573152347,0.872589262071467,0.01903968891912
597,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0726090360229284,0.946419676621854,0.96495192548376,0.018532248861906
598,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.156743147073798,0.940274767874134,0.960056752974027,0.019781985099893
599,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0726090360229284,0.946419676621854,0.96495192548376,0.018532248861906
