"id","Esc_sum","Esc_cat","escorrentia","ev_esc_baja","ev_esc_media","ev_esc_alta","suma_evidencia","ev_esc_baja_aj","ev_esc_media_aj","ev_esc_alta_aj","suma_evidencia_aj"
703,61349.0469894409,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
704,0,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
705,0,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
706,0,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
707,17953.7735137045,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
708,0.584499001502991,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
709,27008.7233734131,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
710,0,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
711,431.976251274347,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
712,24087.9333885908,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
713,5254.85116833777,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
714,205142.479431152,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
715,196018.837142944,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
716,40537.5240783691,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
717,243651.473144531,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
718,232944.174407959,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
719,26847.5213012695,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
720,174151.792327881,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
721,210735.950073242,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
722,253851.583526611,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
723,159847.81338501,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
724,221775.598892212,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
725,167190.342956543,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
726,302184.258178711,"Baja","esc_baja",0.837121063667955,0.162878936332045,0,1,0.761552904117762,0.188447095882238,0.05,1
727,188184.824249268,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
728,191560.349182129,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
729,418391.607513428,"Media","esc_media",0.200964534526947,0.799035465473053,0,1,0.220819854347905,0.729180145652095,0.05,1
730,939217.480895996,"Alta","esc_alta",0,0.238431437934792,0.761568562065208,1,0.05,0.252666722244573,0.697333277755427,1
731,338400.261291504,"Baja","esc_baja",0.638862976107297,0.361137023892703,0,1,0.593033529691202,0.356966470308798,0.05,1
732,285736.54876709,"Baja","esc_baja",0.927161132489065,0.0728388675109351,0,1,0.838086962615705,0.111913037384295,0.05,1
733,148401.136199951,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
734,58002.2632751465,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
735,241441.258575439,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
736,536649.282623291,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
737,265907.735412598,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
738,345715.895446777,"Baja","esc_baja",0.598814834063551,0.401185165936449,0,1,0.558992608954019,0.391007391045981,0.05,1
739,186927.190551758,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
740,1114257.32235718,"Alta","esc_alta",0,0,1,1,0.05,0.05,0.9,1
741,456915.805053711,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
742,341032.3203125,"Baja","esc_baja",0.624454235688752,0.375545764311248,0,1,0.580786100335439,0.369213899664561,0.05,1
743,466100.702911377,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
744,162655.637481689,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
745,212933.834320068,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
746,682781.550292969,"Media","esc_media",0,0.979250299599687,0.0207497004003125,1,0.05,0.882362754659734,0.0676372453402656,1
747,181358.460327148,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
748,366004.689819336,"Baja","esc_baja",0.487747426688768,0.512252573311232,0,1,0.464585312685453,0.485414687314547,0.05,1
749,360451.257171631,"Baja","esc_baja",0.518148709036295,0.481851290963705,0,1,0.490426402680851,0.459573597319149,0.05,1
750,290824.036010742,"Baja","esc_baja",0.899310585638979,0.100689414361021,0,1,0.814413997793132,0.135586002206868,0.05,1
751,538259.081329346,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
752,366656.780212402,"Baja","esc_baja",0.484177673454451,0.515822326545549,0,1,0.461551022436283,0.488448977563717,0.05,1
753,328050.011230469,"Baja","esc_baja",0.695523584857646,0.304476415142354,0,1,0.641195047128999,0.308804952871001,0.05,1
754,807848.133575439,"Media","esc_media",0,0.617944909821584,0.382055090178416,1,0.05,0.575253173348347,0.374746826651653,1
755,1039744.13253784,"Alta","esc_alta",0,0,1,1,0.05,0.05,0.9,1
756,306626.149047852,"Baja","esc_baja",0.812804719699065,0.187195280300935,0,1,0.740884011744206,0.209115988255794,0.05,1
757,161154.640441895,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
758,517519.139526367,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
759,276174.379394531,"Baja","esc_baja",0.979507533245392,0.0204924667546081,0,1,0.882581403258583,0.0674185967414169,0.05,1
760,223815.033081055,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
761,355821.941192627,"Baja","esc_baja",0.543491078536675,0.456508921463325,0,1,0.511967416756174,0.438032583243826,0.05,1
762,802797.898040771,"Media","esc_media",0,0.63253455695541,0.36746544304459,1,0.05,0.587654373412098,0.362345626587902,1
763,88709.5226745605,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
764,162092.091522217,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
