"id","USyV","Suelos","Grad_Pend","P_sum","Esc_sum","Agua_D","Agua_D_log","P_cat","Esc_cat","Agua_D_cat","cobertura","suelo","pendiente","precipitacion","escorrentia","aporte","p_inf_baja","p_inf_media","p_inf_alta","p_esc_modelo_baja","p_esc_modelo_media","p_esc_modelo_alta","p_esc_final_baja","p_esc_final_media","p_esc_final_alta","p_func_aporte","p_func_transferencia","p_func_recepcion","aporte_conservada","aporte_degradada","transferencia_conservada","transferencia_degradada","receptora_conservada","receptora_degradada","UREH_predicha","prob_UREH_predicha","UREH_segunda","prob_UREH_segunda","margen_clasificacion","entropia_UREH"
408,"Sec Bosque Tropical","Regosol","6°-15°",2352284.84777832,720952.484375,3231347.86,14.9884102117418,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_medio",0.2,0.7,0.1,0.145,0.245,0.61,0.0242556414542051,0.646420186187035,0.32932417235876,0.137172137600193,0.695148871709159,0.167678990690648,0.0995598398081118,0.0611516412800578,0.423186345591312,0.228544661512748,0.117253814600576,0.0703036972071945,"transferencia_conservada",0.423186345591312,"transferencia_degradada",0.228544661512748,0.194641684078564,0.859375690998762
409,"Bosque de Encino","Regosol","15°-35°",1003658.78564453,279374.953369141,279374.95,12.5403136447916,"Baja","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_alta","prec_baja","esc_baja","aporte_bajo",0.3,0.5,0.2,0.59,0.255,0.155,0.946845373481391,0.0388207099145485,0.0143339166040606,0.506748854312267,0.296625572843866,0.196625572843867,0.364589220932341,0.121349770862453,0.221705389533829,0.0793251145687733,0.153705389533829,0.0593251145687733,"aporte_conservada",0.364589220932341,"transferencia_conservada",0.221705389533829,0.142883831398512,0.900918166938489
410,"Bosque de Encino","Regosol","15°-35°",3586527.59399414,1015269.48883057,1015269.49,13.830665627566,"Alta","Alta","Baja","forestal_conservada","suelo_infiltracion_baja","pend_alta","prec_alta","esc_alta","aporte_bajo",0.3,0.5,0.2,0.145,0.245,0.61,0.0128845199579959,0.0287002592014173,0.958415220840587,0.694553070088259,0.20272346495587,0.10272346495587,0.492296087660016,0.158910614017652,0.157851956169992,0.0605446929911741,0.0898519561699919,0.0405446929911741,"aporte_conservada",0.492296087660016,"aporte_degradada",0.158910614017652,0.333385473642364,0.808616776316715
411,"Sec Bosque Tropical","Regosol","6°-15°",1079234.5769043,320822.077728271,3552169.94,15.0830695069362,"Media","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_medio",0.2,0.7,0.1,0.175,0.64,0.185,0.389167637973502,0.580350086469397,0.0304822755571003,0.20685103191817,0.6221664724053,0.17098249567653,0.139973598512539,0.0820553095754511,0.380856553995074,0.20664994172159,0.119169847492387,0.071294748702959,"transferencia_conservada",0.380856553995074,"transferencia_degradada",0.20664994172159,0.174206612273484,0.90172024672391
412,"Sec Bosque Tropical","Regosol","15°-35°",3621230.9876709,1137830.78689575,7076708.15,15.7723195482905,"Alta","Alta","Media","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_alta","esc_alta","aporte_medio",0.3,0.5,0.2,0.145,0.245,0.61,0.0127528583992964,0.0215479331574318,0.965699208443272,0.103627968337731,0.697449428320141,0.198922603342128,0.0801042216358839,0.0510883905013193,0.424520668425682,0.229234828496042,0.135375109938434,0.0796767810026385,"transferencia_conservada",0.424520668425682,"transferencia_degradada",0.229234828496042,0.195285839929639,0.852698679496852
413,"Bosque de Encino","Regosol","15°-35°",4027602.92956543,1122397.39529419,1122397.4,13.9309783822526,"Alta","Alta","Baja","forestal_conservada","suelo_infiltracion_baja","pend_alta","prec_alta","esc_alta","aporte_bajo",0.3,0.5,0.2,0.145,0.245,0.61,0.0127528583992964,0.0215479331574318,0.965699208443272,0.695294635004397,0.202352682497801,0.102352682497801,0.49280035180299,0.15905892700088,0.157599824098505,0.0604705364995603,0.0895998240985048,0.0404705364995602,"aporte_conservada",0.49280035180299,"aporte_degradada",0.15905892700088,0.333741424802111,0.808120345947055
414,"Bosque de Encino","Regosol","15°-35°",819892.839355469,231094.171447754,1524147.38,14.2369463726941,"Baja","Baja","Media","forestal_conservada","suelo_infiltracion_baja","pend_alta","prec_baja","esc_baja","aporte_medio",0.3,0.5,0.2,0.59,0.255,0.155,0.962828649138713,0.0231187669990934,0.014052583862194,0.293721668177697,0.507434270172258,0.198844061650045,0.219730734360834,0.0787443336355395,0.365055303717135,0.121486854034452,0.155213961922031,0.0597688123300091,"transferencia_conservada",0.365055303717135,"aporte_conservada",0.219730734360834,0.145324569356301,0.901125245081153
415,"Bosque de Encino","Regosol","6°-15°",3456679.96765137,991483.407287598,3424156.15,15.0463659118027,"Alta","Alta","Media","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_alta","esc_alta","aporte_medio",0.2,0.7,0.1,0.145,0.245,0.61,0.0133919083810511,0.0562634102720941,0.930344681346855,0.105491552189815,0.69732161832379,0.197186829486395,0.0917342554890742,0.041098310437963,0.494178700460177,0.159464323664758,0.154087044050749,0.0594373658972791,"transferencia_conservada",0.494178700460177,"transferencia_degradada",0.159464323664758,0.334714376795419,0.807792820421648
416,"Bosque de Encino","Regosol","15°-35°",1618190.88659668,455751.283996582,455751.28,13.0297046952711,"Media","Media","Baja","forestal_conservada","suelo_infiltracion_baja","pend_alta","prec_media","esc_media","aporte_bajo",0.25,0.6,0.15,0.185,0.62,0.195,0.0160311958405546,0.967071057192374,0.0168977469670711,0.600086655112652,0.249956672443674,0.149956672443674,0.428058925476603,0.14001733102253,0.189970537261698,0.0699913344887348,0.121970537261698,0.0499913344887348,"aporte_conservada",0.428058925476603,"transferencia_conservada",0.189970537261698,0.238088388214905,0.863131371126098
417,"Sec Bosque Templado","Regosol","15°-35°",1493854.67382812,423059.903442383,423059.9,12.9552714192967,"Media","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_media","aporte_bajo",0.25,0.6,0.15,0.185,0.62,0.195,0.07191948043033,0.909042853293079,0.019037666276591,0.594711818584626,0.252644090707687,0.152644090707687,0.364932854779083,0.198413545575388,0.166533572610458,0.0957932272123061,0.108533572610458,0.0657932272123061,"aporte_conservada",0.364932854779083,"aporte_degradada",0.198413545575388,0.166519309203695,0.910865205523267
418,"Bosque de Encino","Regosol","15°-35°",4576776.6105957,1293053.21121216,1293053.21,14.0725175826292,"Alta","Alta","Baja","forestal_conservada","suelo_infiltracion_baja","pend_alta","prec_alta","esc_alta","aporte_bajo",0.3,0.5,0.2,0.145,0.245,0.61,0.0127528583992964,0.0215479331574318,0.965699208443272,0.695294635004397,0.202352682497801,0.102352682497801,0.49280035180299,0.15905892700088,0.157599824098505,0.0604705364995603,0.0895998240985048,0.0404705364995602,"aporte_conservada",0.49280035180299,"aporte_degradada",0.15905892700088,0.333741424802111,0.808120345947055
419,"Sec Bosque Tropical","Regosol","6°-15°",1188113.05871582,335763.501800537,1179877.99,13.9809224403357,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo",0.2,0.7,0.1,0.175,0.64,0.185,0.315464517545966,0.65698802651611,0.0275474559379236,0.571208293839196,0.264395853080402,0.164395853080402,0.351300810426733,0.191362488151759,0.173349594786633,0.0993187559241206,0.115349594786633,0.0693187559241206,"aporte_conservada",0.351300810426733,"aporte_degradada",0.191362488151759,0.159938322274975,0.921571255101498
420,"Sec Bosque Tropical","Regosol","15°-35°",1292396.1685791,365876.835540771,365876.84,12.8100547861779,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_baja","aporte_bajo",0.25,0.6,0.15,0.185,0.62,0.195,0.217101624015542,0.758301797411025,0.0245965785734327,0.580749495455789,0.259625252272105,0.159625252272105,0.356834707364358,0.194224848636737,0.170582646317821,0.0978875756816316,0.112582646317821,0.0678875756816316,"aporte_conservada",0.356834707364358,"aporte_degradada",0.194224848636737,0.162609858727621,0.917344494092446
421,"Sec Bosque Templado","Regosol","15°-35°",1284200.99133301,366592.067443848,366592.07,12.8120077107721,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_media","esc_baja","aporte_bajo",0.25,0.6,0.15,0.185,0.62,0.195,0.214764023056318,0.760728903307954,0.0245070736357285,0.580974305057941,0.259512847471029,0.159512847471029,0.356965096933606,0.194292291517382,0.170517451533197,0.0978538542413088,0.112517451533197,0.0678538542413088,"aporte_conservada",0.356965096933606,"aporte_degradada",0.194292291517382,0.162672805416223,0.917242941093881
422,"Sec Bosque Templado","Regosol","6°-15°",1621812.99377441,459462.537872314,459462.54,13.0378148705133,"Media","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_media","aporte_bajo",0.2,0.7,0.1,0.175,0.64,0.185,0.0147306397306397,0.96969696969697,0.0155723905723906,0.600084175084175,0.249957912457912,0.149957912457912,0.368048821548822,0.200025252525252,0.164975589225589,0.0949873737373737,0.106975589225589,0.0649873737373737,"aporte_conservada",0.368048821548822,"aporte_degradada",0.200025252525252,0.168023569023569,0.908278600067441
423,"Bosque de Encino","Regosol","15°-35°",3554655.30004883,1013367.6098938,1013367.61,13.8287905966084,"Alta","Alta","Baja","forestal_conservada","suelo_infiltracion_baja","pend_alta","prec_alta","esc_alta","aporte_bajo",0.3,0.5,0.2,0.145,0.245,0.61,0.0129236710558719,0.0308270866501845,0.956249242293944,0.694332557123807,0.202833721438096,0.102833721438096,0.492146138844189,0.158866511424761,0.157926930577906,0.0605667442876193,0.0899269305779056,0.0405667442876193,"aporte_conservada",0.492146138844189,"aporte_degradada",0.158866511424761,0.333279627419428,0.80876418119969
424,"Sec Bosque Tropical","Regosol","3°-6°",1033888.45336914,259435.673583984,2244597.88,14.6240373905888,"Baja","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_medio",0.25,0.6,0.15,0.59,0.255,0.155,0.962828649138713,0.0231187669990934,0.014052583862194,0.293721668177697,0.507434270172258,0.198844061650045,0.190358567543064,0.108116500453309,0.314311876699909,0.172230281051677,0.135329555757026,0.0796532184950136,"transferencia_conservada",0.314311876699909,"aporte_conservada",0.190358567543064,0.123953309156845,0.946105609084125
425,"Sec Bosque Tropical","Regosol","3°-6°",1623098.73156738,362184.949798584,1023875.13,13.8391061104676,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo",0.2,0.7,0.1,0.175,0.64,0.185,0.214816718315547,0.761643568350844,0.0235397133336087,0.580872299501806,0.259563850249097,0.159563850249097,0.356905933711048,0.194261689850542,0.170547033144476,0.0978691550747291,0.112547033144476,0.0678691550747291,"aporte_conservada",0.356905933711048,"aporte_degradada",0.194261689850542,0.162644243860506,0.917289031166133
426,"Pastizal","Regosol","3°-6°",1539672.32629395,331185.923309326,331185.92,12.7104382079598,"Media","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo",0.6,0.25,0.15,0.2025,0.55,0.2475,0.4001102361093,0.560867963599585,0.0390218002911147,0.563891156418181,0.268054421790909,0.168054421790909,0.189167346925454,0.347056870722545,0.100416326537273,0.175471564638727,0.0704163265372728,0.117471564638727,"aporte_degradada",0.347056870722545,"aporte_conservada",0.189167346925454,0.157889523797091,0.924702792589655
427,"Sec Bosque Tropical","Phaeozem","3°-6°",2343794.99108887,506172.694656372,12497076.19,16.3410053501312,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_alta","pend_media","prec_alta","esc_media","aporte_medio",0.1,0.2,0.7,0.18,0.28,0.54,0.03125,0.875,0.09375,0.15,0.69375,0.15625,0.107,0.065,0.422375,0.228125,0.110625,0.066875,"transferencia_conservada",0.422375,"transferencia_degradada",0.228125,0.19425,0.860839475059823
428,"Pastizal","Regosol","6°-15°",1447550.12841797,271401.102294922,11990903.5,16.2996589620233,"Media","Baja","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_medio",0.6,0.25,0.15,0.2025,0.55,0.2475,0.820483961733258,0.123804164321891,0.0557118739448509,0.270287000562746,0.535903207653348,0.193809791783905,0.101086100168824,0.176766460326393,0.180770962296005,0.330823860438942,0.0781429375351716,0.132409679234665,"transferencia_degradada",0.330823860438942,"transferencia_conservada",0.180770962296005,0.150052898142938,0.937663333410568
429,"Sec Bosque Tropical","Regosol","3°-6°",5060386.58959961,1024422.92793274,2048298.06,14.5325202798715,"Alta","Alta","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_alta","aporte_medio",0.2,0.7,0.1,0.145,0.245,0.61,0.0127528583992964,0.0215479331574318,0.965699208443272,0.103627968337731,0.697449428320141,0.198922603342128,0.0801042216358839,0.0510883905013193,0.424520668425682,0.229234828496042,0.135375109938434,0.0796767810026385,"transferencia_conservada",0.424520668425682,"transferencia_degradada",0.229234828496042,0.195285839929639,0.852698679496852
